Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 67.0.3396.99,dff,2018-07-24 17:51:07,2018-07-24 17:51:17,9.870s,FAILED
,,,,,,
Test Cases/Login/Test1,Chrome 67.0.3396.99,ghfhgf,2018-07-24 17:51:08,2018-07-24 17:51:09,0.650s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:51:08,2018-07-24 17:51:08,0.003s,NOT_RUN
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:51:08,2018-07-24 17:51:09,0.318s,FAILED
,,,,,,
Test Cases/Login/Test2_Manual,Chrome 67.0.3396.99,se,2018-07-24 17:51:09,2018-07-24 17:51:17,8.815s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:51:09,2018-07-24 17:51:11,2.671s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:51:11,2018-07-24 17:51:13,1.730s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:51:13,2018-07-24 17:51:14,0.505s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:51:14,2018-07-24 17:51:14,0.157s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:51:14,2018-07-24 17:51:14,0.309s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:51:14,2018-07-24 17:51:15,1.061s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:51:15,2018-07-24 17:51:16,1.350s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:51:16,2018-07-24 17:51:17,0.895s,PASSED
