Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 67.0.3396.99,dff,2018-07-24 13:03:53,2018-07-24 13:04:13,20.205s,FAILED
,,,,,,
Test Cases/Login/Test1,Chrome 67.0.3396.99,ghfhgf,2018-07-24 13:03:53,2018-07-24 13:04:05,11.982s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:03:53,2018-07-24 13:03:56,2.794s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:03:56,2018-07-24 13:03:58,1.802s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:03:58,2018-07-24 13:03:58,0.524s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:03:58,2018-07-24 13:03:59,0.168s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 13:03:59,2018-07-24 13:03:59,0.337s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:03:59,2018-07-24 13:04:00,0.976s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:04:00,2018-07-24 13:04:02,2.558s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:04:02,2018-07-24 13:04:04,1.944s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 13:04:04,2018-07-24 13:04:05,0.630s,PASSED
,,,,,,
Test Cases/Login/Test2_Manual,Chrome 67.0.3396.99,se,2018-07-24 13:04:05,2018-07-24 13:04:12,7.323s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:04:05,2018-07-24 13:04:07,1.957s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:04:07,2018-07-24 13:04:09,1.700s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:04:09,2018-07-24 13:04:09,0.448s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:04:09,2018-07-24 13:04:09,0.166s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 13:04:09,2018-07-24 13:04:10,0.157s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:04:10,2018-07-24 13:04:11,1.106s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 13:04:11,2018-07-24 13:04:12,1.638s,FAILED
