Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 67.0.3396.99,dff,2018-07-24 17:47:33,2018-07-24 17:47:47,14.545s,FAILED
,,,,,,
Test Cases/Login/Test1,Chrome 67.0.3396.99,ghfhgf,2018-07-24 17:47:33,2018-07-24 17:47:34,0.737s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:47:33,2018-07-24 17:47:33,0.003s,NOT_RUN
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:47:33,2018-07-24 17:47:34,0.348s,FAILED
,,,,,,
Test Cases/Login/Test2_Manual,Chrome 67.0.3396.99,se,2018-07-24 17:47:34,2018-07-24 17:47:47,13.369s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:47:34,2018-07-24 17:47:37,2.579s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:47:37,2018-07-24 17:47:41,4.458s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:47:41,2018-07-24 17:47:43,1.564s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:47:43,2018-07-24 17:47:43,0.169s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:47:43,2018-07-24 17:47:43,0.328s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:47:43,2018-07-24 17:47:45,2.162s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:47:45,2018-07-24 17:47:47,1.350s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:47:47,2018-07-24 17:47:47,0.608s,PASSED
