Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 67.0.3396.99,dff,2018-07-24 13:04:15,2018-07-24 13:04:24,9.196s,FAILED
,,,,,,
Test Cases/Login/Test2_Manual,Chrome 67.0.3396.99,se,2018-07-24 13:04:15,2018-07-24 13:04:23,8.194s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:04:15,2018-07-24 13:04:18,2.803s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:04:18,2018-07-24 13:04:19,1.234s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:04:19,2018-07-24 13:04:20,0.550s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:04:20,2018-07-24 13:04:20,0.171s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 13:04:20,2018-07-24 13:04:20,0.338s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:04:20,2018-07-24 13:04:21,1.169s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 13:04:21,2018-07-24 13:04:23,1.663s,FAILED
