Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 67.0.3396.99,dff,2018-07-24 13:09:09,2018-07-24 13:09:18,8.961s,FAILED
,,,,,,
Test Cases/Login/Test2_Manual,Chrome 67.0.3396.99,se,2018-07-24 13:09:10,2018-07-24 13:09:18,7.969s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:09:10,2018-07-24 13:09:13,2.862s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:09:13,2018-07-24 13:09:14,1.036s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:09:14,2018-07-24 13:09:14,0.524s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:09:14,2018-07-24 13:09:15,0.165s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 13:09:15,2018-07-24 13:09:15,0.339s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:09:15,2018-07-24 13:09:16,1.112s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 13:09:16,2018-07-24 13:09:18,1.659s,FAILED
