Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHrmLive,Chrome 67.0.3396.99,asde,2018-07-24 15:28:45,2018-07-24 15:28:59,13.859s,PASSED
,,,,,,
Test Cases/OrangeHrmLive/Login,Chrome 67.0.3396.99,Login to OrangeHrmLiveApp,2018-07-24 15:28:45,2018-07-24 15:28:58,12.621s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:28:45,2018-07-24 15:28:48,2.825s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:28:48,2018-07-24 15:28:53,4.894s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:28:53,2018-07-24 15:28:53,0.110s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:28:53,2018-07-24 15:28:53,0.115s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:28:53,2018-07-24 15:28:53,0.287s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:28:53,2018-07-24 15:28:58,4.066s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:28:58,2018-07-24 15:28:58,0.036s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:28:58,2018-07-24 15:28:58,0.020s,PASSED
,,,,,,
Test Cases/OrangeHrmLive/HomePg,Chrome 67.0.3396.99,sdfs,2018-07-24 15:28:58,2018-07-24 15:28:58,0.206s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:28:58,2018-07-24 15:28:58,0.013s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:28:58,2018-07-24 15:28:58,0.014s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:28:58,2018-07-24 15:28:58,0.018s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:28:58,2018-07-24 15:28:58,0.018s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:28:58,2018-07-24 15:28:58,0.020s,PASSED
