Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 67.0.3396.99,dff,2018-07-24 15:06:25,2018-07-24 15:06:36,11.329s,FAILED
,,,,,,
Test Cases/Login/Test1,Chrome 67.0.3396.99,ghfhgf,2018-07-24 15:06:25,2018-07-24 15:06:26,0.967s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:06:26,2018-07-24 15:06:26,0.003s,NOT_RUN
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:06:26,2018-07-24 15:06:26,0.449s,FAILED
,,,,,,
Test Cases/Login/Test2_Manual,Chrome 67.0.3396.99,se,2018-07-24 15:06:26,2018-07-24 15:06:36,9.957s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:06:26,2018-07-24 15:06:29,2.625s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:06:29,2018-07-24 15:06:32,2.893s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:06:32,2018-07-24 15:06:32,0.537s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:06:32,2018-07-24 15:06:33,0.193s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:06:33,2018-07-24 15:06:33,0.355s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:06:33,2018-07-24 15:06:34,1.179s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:06:34,2018-07-24 15:06:35,1.363s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:06:35,2018-07-24 15:06:36,0.636s,PASSED
