Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 67.0.3396.99,dff,2018-07-24 13:08:48,2018-07-24 13:09:08,19.973s,FAILED
,,,,,,
Test Cases/Login/Test1,Chrome 67.0.3396.99,ghfhgf,2018-07-24 13:08:48,2018-07-24 13:09:00,11.878s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:08:49,2018-07-24 13:08:51,2.802s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:08:51,2018-07-24 13:08:53,1.811s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:08:53,2018-07-24 13:08:54,0.907s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:08:54,2018-07-24 13:08:54,0.163s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 13:08:54,2018-07-24 13:08:55,0.362s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:08:55,2018-07-24 13:08:56,1.002s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:08:56,2018-07-24 13:08:58,2.557s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:08:58,2018-07-24 13:09:00,1.393s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 13:09:00,2018-07-24 13:09:00,0.615s,PASSED
,,,,,,
Test Cases/Login/Test2_Manual,Chrome 67.0.3396.99,se,2018-07-24 13:09:00,2018-07-24 13:09:07,7.137s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:09:00,2018-07-24 13:09:02,1.964s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:09:02,2018-07-24 13:09:04,1.377s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:09:04,2018-07-24 13:09:04,0.515s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:09:04,2018-07-24 13:09:04,0.149s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 13:09:04,2018-07-24 13:09:04,0.151s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:09:04,2018-07-24 13:09:06,1.166s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 13:09:06,2018-07-24 13:09:07,1.671s,FAILED
