Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 67.0.3396.99,dff,2018-07-24 17:50:20,2018-07-24 17:50:29,8.711s,FAILED
,,,,,,
Test Cases/Login/Test1,Chrome 67.0.3396.99,ghfhgf,2018-07-24 17:50:20,2018-07-24 17:50:21,0.573s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:50:21,2018-07-24 17:50:21,0.002s,NOT_RUN
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:50:21,2018-07-24 17:50:21,0.237s,FAILED
,,,,,,
Test Cases/Login/Test2_Manual,Chrome 67.0.3396.99,se,2018-07-24 17:50:21,2018-07-24 17:50:29,7.810s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:50:21,2018-07-24 17:50:24,2.613s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:50:24,2018-07-24 17:50:25,0.901s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:50:25,2018-07-24 17:50:25,0.480s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:50:25,2018-07-24 17:50:25,0.171s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:50:25,2018-07-24 17:50:26,0.318s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:50:26,2018-07-24 17:50:27,1.255s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:50:27,2018-07-24 17:50:28,1.329s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:50:28,2018-07-24 17:50:29,0.627s,PASSED
