Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 67.0.3396.99,dff,2018-07-24 14:53:53,2018-07-24 14:54:03,9.764s,FAILED
,,,,,,
Test Cases/Login/Test1,Chrome 67.0.3396.99,ghfhgf,2018-07-24 14:53:53,2018-07-24 14:53:54,0.588s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 14:53:54,2018-07-24 14:53:54,0.002s,NOT_RUN
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 14:53:54,2018-07-24 14:53:54,0.265s,FAILED
,,,,,,
Test Cases/Login/Test2_Manual,Chrome 67.0.3396.99,se,2018-07-24 14:53:54,2018-07-24 14:54:03,8.839s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 14:53:54,2018-07-24 14:53:57,2.613s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 14:53:57,2018-07-24 14:53:58,1.485s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 14:53:58,2018-07-24 14:53:59,0.887s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 14:53:59,2018-07-24 14:53:59,0.146s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 14:53:59,2018-07-24 14:53:59,0.338s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 14:53:59,2018-07-24 14:54:01,1.183s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 14:54:01,2018-07-24 14:54:02,1.345s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 14:54:02,2018-07-24 14:54:03,0.676s,PASSED
